id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
238,,2023-09-05 16:16,은행,교육,,탑싯응시료,10000,지출,
239,,2023-09-05 16:16,은행,식비,,스튜디오웝- 오구피로,5000,지출,
240,241,2023-09-04 16:15,은행,식비,,육회봉구비어빙수- 샌드효정,42130,지출,
241,,2023-09-04 16:15,일정,약속,,백제정육점,42130,,
242,243,2023-09-02 16:14,은행,식비,,원즈오운-윤애레기오구,9500,지출,
243,,2023-09-02 16:14,일정,약속,,원즈오운,9500,,
244,246,2023-09-01 16:13,은행,식비,,미쁘동티라미수-영수,28700,지출,
245,,2023-09-01 16:13,은행,경조사/회비,,지민생일+윤애선물//소품샵,13000,지출,
246,,2023-09-01 16:13,일정,약속,,영수,28700,,
247,,2023-09-01 4:13,은행,용돈,,,300000,수입,
248,,2023-08-30 17:00,은행,식비,,마라샹궈(0.5)+크림브륄레+우할떡-지민,17600,지출,
249,,2023-08-28 17:02,은행,부수입,,학교알바,280760,수입,
250,251,2023-08-27 17:01,은행,식비,,플래터스짜장면-샌드자두세원,21750,지출,
251,,2023-08-27 17:01,일정,약속,,플래터스팟,21750,,
252,,2023-08-24 17:01,은행,경조사/회비,,"립밤(네이버페이 24,000)",20000,지출,
253,259,2023-08-22 21:12,은행,문화생활,,소품샵스티커,6300,지출,
254,259,2023-08-22 21:09,은행,문화생활,,컵/티코스터,9500,지출,
255,259,2023-08-22 21:09,은행,기타,,성심당나눠먹기/빵댈구/인생네컷/두루치기/,20000,지출,
256,259,2023-08-22 21:06,은행,식비,,성심당 빵(전체 32900,26600,지출,
257,259,2023-08-22 21:06,은행,기타,,대전가는기차/메론빵/칼국수/카페그려/성심당나눠먹기,28636,지출,
258,259,2023-08-22 21:06,은행,교통/차량,,서울 오는 기차,10800,지출,
259,,2023-08-22 21:06,일정,여행,,대전당일치기,101836,,
260,,2023-08-20 16:59,은행,문화생활,,봄툰충전,11900,지출,
261,,2023-08-20 16:59,은행,패션/미용,,"김치찜-우리가좍(23,100원",30000,지출,보홀 돌아온 날
262,,2023-08-19 16:58,은행,문화생활,,플로결제,790,지출,
263,,2023-08-16 16:58,은행,식비,,쏠트24크롸쏭,8300,지출,
264,,2023-08-16 16:58,일정,여행,,보홀 가족!!,,,
265,266,2023-08-15 16:58,은행,식비,,안테이쿠-세원자두(14일),32000,지출,
266,,2023-08-14 16:58,일정,약속,,안테이쿠,32000,,
